unix_time,latitude_deg,longitude_deg,altitude_m,fix_quality,hdop
1770009810.2063432,42.31833333333334,-71.05763833333334,26.6,2,1.17
1770009811.2135336,42.31833166666667,-71.05763833333334,26.6,2,1.17
1770009812.2071412,42.31833333333334,-71.05763666666667,26.6,2,1.17
1770009813.2099795,42.31833333333334,-71.05763666666667,26.6,2,1.17
1770009814.2124257,42.31833333333334,-71.05763666666667,26.6,2,1.17
1770009815.2015502,42.31833166666667,-71.05763666666667,26.6,2,1.17
1770009816.2074416,42.31833166666667,-71.05763666666667,26.6,2,1.17
1770009817.2085853,42.31833166666667,-71.05763666666667,26.6,2,1.17
1770009818.2076063,42.31833166666667,-71.05763833333334,26.6,2,1.17
1770009819.214476,42.31833166666667,-71.05764,26.6,2,1.17
1770009820.2125401,42.31833166666667,-71.05764,26.6,2,1.17
1770009821.2124622,42.31833166666667,-71.05764,26.7,2,1.17
1770009822.2079155,42.31833333333334,-71.05763833333334,26.7,2,1.17
1770009823.2134712,42.31833333333334,-71.05763666666667,26.7,2,1.17
1770009824.207847,42.31833166666667,-71.05764,26.7,2,1.17
1770009825.2096775,42.318329999999996,-71.05764,26.7,2,1.17
1770009826.207917,42.31833166666667,-71.05764,26.7,2,1.17
1770009827.2125216,42.31833166666667,-71.05764,26.7,2,1.17
1770009828.2123387,42.31833166666667,-71.05764,26.7,2,1.17
1770009829.2096379,42.31833166666667,-71.05764,26.7,2,1.17
1770009830.2080822,42.31833166666667,-71.05764,26.7,2,1.17
1770009831.2145624,42.31833166666667,-71.05764166666667,26.7,2,1.17
1770009832.212912,42.31833166666667,-71.05764166666667,26.7,2,1.17
1770009833.2074404,42.31833166666667,-71.05764333333333,26.7,2,1.18
1770009834.2074378,42.318329999999996,-71.05764333333333,26.7,2,1.17
1770009835.215429,42.318329999999996,-71.05764500000001,26.7,2,1.18
1770009836.2125616,42.318328333333326,-71.05764666666667,26.7,2,1.17
1770009837.2104094,42.318328333333326,-71.05764666666667,26.7,2,1.17
1770009838.2082036,42.318328333333326,-71.05764666666667,26.7,2,1.17
1770009839.2080076,42.318328333333326,-71.05764833333333,26.7,2,1.17
1770009840.2123694,42.318328333333326,-71.05764833333333,26.7,2,1.17
1770009841.2098775,42.318328333333326,-71.05764833333333,26.7,2,1.16
1770009842.2126164,42.318328333333326,-71.05764833333333,26.7,2,1.17
1770009843.2148778,42.318328333333326,-71.05764833333333,26.7,2,1.16
1770009844.2124693,42.31832666666666,-71.05765,26.7,2,1.17
1770009845.207355,42.31832666666666,-71.05765,26.7,2,1.18
1770009846.2080133,42.31832333333333,-71.05765166666667,26.7,2,1.18
1770009847.2087495,42.31832166666666,-71.05765166666667,26.7,2,1.16
1770009848.2074382,42.31832333333333,-71.05765166666667,26.7,2,1.17
1770009849.2151144,42.31832166666666,-71.05765333333333,26.7,2,1.17
1770009850.2090912,42.31832166666666,-71.05765166666667,26.7,2,1.18
1770009851.2014365,42.31831999999999,-71.05765333333333,26.7,2,1.18
1770009852.201505,42.31831999999999,-71.05765166666667,26.7,2,1.16
1770009853.206946,42.31831999999999,-71.05765,26.7,2,1.18
1770009854.2015595,42.31831999999999,-71.05765,26.7,2,1.17
1770009855.2084603,42.31831833333334,-71.05765,26.7,2,1.18
1770009856.2125528,42.31831833333334,-71.05765166666667,26.7,2,1.17
1770009857.206076,42.31831666666667,-71.05765166666667,26.7,2,1.17
1770009858.2063162,42.31831666666667,-71.05765333333333,26.7,2,1.17
1770009859.1954775,42.318315,-71.05765333333333,26.7,2,1.17
1770009860.1890903,42.318315,-71.05765333333333,26.7,2,1.18
1770009861.191477,42.318315,-71.05765333333333,26.7,2,1.17
1770009862.1933663,42.31831333333333,-71.05765333333333,26.7,2,1.17
1770009863.1933851,42.31831333333333,-71.05765333333333,26.7,2,1.17
1770009864.195301,42.318315,-71.05765333333333,26.7,2,1.17
1770009865.196491,42.318315,-71.05765333333333,26.7,2,1.17
1770009866.188097,42.31831666666667,-71.05765333333333,26.6,2,1.17
1770009867.1932368,42.31831833333334,-71.05765500000001,26.6,2,1.17
1770009868.1909766,42.31831833333334,-71.05765833333334,26.6,2,1.17
1770009869.1901164,42.31831833333334,-71.05766,26.7,2,1.17
1770009870.195401,42.31831999999999,-71.05766166666668,26.7,2,1.17
1770009871.1895533,42.31831833333334,-71.05766333333332,26.7,2,1.17
1770009872.1900964,42.31831999999999,-71.05766333333332,26.7,2,1.17
1770009873.1910863,42.31831999999999,-71.057665,26.7,2,1.17
1770009874.1952477,42.31831999999999,-71.05766666666666,26.7,2,1.17
1770009875.1908765,42.31831999999999,-71.05766666666666,26.7,2,1.17
1770009876.190095,42.31832166666666,-71.05766833333334,26.7,2,1.17
1770009877.1964288,42.31832166666666,-71.05766666666666,26.7,2,1.17
1770009878.1899426,42.31832333333333,-71.05766666666666,26.7,2,1.17
1770009879.1974494,42.318325,-71.05766666666666,26.7,2,1.17
1770009880.1950629,42.31832666666666,-71.05766833333334,26.7,2,1.17
1770009881.1883938,42.31832666666666,-71.05767166666666,26.6,2,1.17
1770009882.190019,42.31832666666666,-71.05767333333333,26.6,2,1.17
1770009883.1942255,42.318325,-71.05767666666667,26.6,2,1.17
1770009884.1936016,42.31832666666666,-71.057675,26.6,2,1.17
1770009885.1955788,42.31832666666666,-71.05767666666667,26.6,2,1.17
1770009886.195334,42.31832666666666,-71.05767833333333,26.6,2,1.17
1770009887.1886587,42.31832666666666,-71.05767833333333,26.6,2,1.17
1770009888.1886308,42.31832666666666,-71.05767833333333,26.6,2,1.17
1770009889.1930814,42.31832666666666,-71.05767833333333,26.6,2,1.17
1770009890.1905305,42.318325,-71.05767999999999,26.6,2,1.17
1770009891.1975474,42.31832666666666,-71.05767999999999,26.6,2,1.17
1770009892.1898222,42.31832666666666,-71.05767833333333,26.6,2,1.17
1770009893.1909628,42.318325,-71.05767833333333,26.6,2,1.17
1770009894.1909616,42.318325,-71.05767833333333,26.7,2,1.17
1770009895.1960282,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009896.1880326,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009897.1921365,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009898.1950457,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009899.1894543,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009900.1949155,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009901.1925457,42.31832333333333,-71.05767833333333,26.7,2,1.17
1770009902.1949334,42.31832166666666,-71.05767999999999,26.7,2,1.17
1770009903.1927598,42.31831999999999,-71.05767999999999,26.7,2,1.17
1770009904.1897268,42.31831833333334,-71.05768166666667,26.7,2,1.23
1770009905.194452,42.31831666666667,-71.05768333333334,26.7,2,1.23
1770009906.19299,42.318315,-71.057685,26.7,2,1.17
1770009907.1950512,42.31831666666667,-71.05768333333334,26.7,2,1.23
1770009908.1942644,42.31831833333334,-71.05768666666667,26.7,2,1.23
1770009909.1969886,42.31831666666667,-71.057685,26.7,2,1.23
1770009910.1897123,42.31831666666667,-71.05768666666667,26.7,2,1.23
1770009911.1895695,42.31831666666667,-71.05768833333333,26.7,2,1.23
1770009912.194046,42.318315,-71.05769166666667,26.7,2,1.23
1770009913.1897678,42.318315,-71.05769166666667,26.7,2,1.23
1770009914.1886647,42.318315,-71.05769166666667,26.7,2,1.23
